Date,Commodity,Wholesale,Retail,Landing
9/7/2024,Kamote,40,40,27
9/7/2024,Karlang,20,50,25
9/7/2024,Cassava,18,18,25
9/6/2024,Gabi (bisol),35,60,20
9/6/2024,Kamote,40,45,27
9/6/2024,Karlang,20,55,25
9/6/2024,Cassava,18,18,27
9/5/2024,Gabi (bisol),35,50,20
9/5/2024,Kamote,40,45,27
9/5/2024,Karlang,25,50,25
9/5/2024,Cassava,18,20,25
9/4/2024,Gabi (bisol),35,50,20
9/4/2024,Kamote,40,50,27
9/4/2024,Karlang,20,50,25
9/4/2024,Cassava,18,25,25
9/3/2024,Gabi (bisol),35,70,27
9/3/2024,Kamote,40,50,32
9/3/2024,Karlang,25,60,34
9/3/2024,Cassava,18,25,27
9/2/2024,Gabi (bisol),35,60,25
9/2/2024,Kamote,40,45,32
9/2/2024,Karlang,25,50,35
9/2/2024,Cassava,18,18,27
9/1/2024,Gabi (bisol),35,60,27
9/1/2024,Kamote,40,45,32
9/1/2024,Karlang,25,55,35
9/1/2024,Cassava,18,18,25
8/31/2024,Gabi (bisol),35,50,25
8/31/2024,Kamote,40,45,32
8/31/2024,Karlang,25,40,35
8/31/2024,Cassava,18,20,35
8/30/2024,Gabi (bisol),35,50,25
8/30/2024,Kamote,40,45,25
8/30/2024,Karlang,25,50,35
8/30/2024,Cassava,18,18,25
8/29/2024,Gabi (bisol),35,50,25
8/29/2024,Kamote,40,45,25
8/29/2024,Karlang,25,40,36
8/29/2024,Cassava,18,18,35
8/28/2024,Gabi (bisol),33,50,25
8/28/2024,Kamote,40,45,25
8/28/2024,Karlang,25,45,30
8/28/2024,Cassava,18,18,33
8/27/2024,Gabi (bisol),35,55,25
8/27/2024,Kamote,40,50,25
8/27/2024,Karlang,25,40,30
8/27/2024,Cassava,18,25,35
8/26/2024,Gabi (bisol),35,60,25
8/26/2024,Kamote,40,45,25
8/26/2024,Karlang,25,45,30
8/26/2024,Cassava,18,18,35
8/25/2024,Gabi (bisol),40,65,25
8/25/2024,Kamote,40,40,25
8/25/2024,Karlang,30,45,30
8/25/2024,Cassava,18,18,35
8/24/2024,Gabi (bisol),40,60,25
8/24/2024,Kamote,40,30,36
8/24/2024,Karlang,30,45,30
8/24/2024,Cassava,18,18,35
8/23/2024,Gabi (bisol),40,60,25
8/23/2024,Kamote,40,45,36
8/23/2024,Karlang,30,50,30
8/23/2024,Cassava,18,20,35
8/22/2024,Gabi (bisol),35,60,25
8/22/2024,Kamote,40,40,36
8/22/2024,Karlang,30,50,30
8/22/2024,Cassava,18,20,35
8/21/2024,Gabi (bisol),35,70,25
8/21/2024,Kamote,40,60,40
8/21/2024,Karlang,25,70,30
8/21/2024,Cassava,18,25,35
8/20/2024,Gabi (bisol),35,50,25
8/20/2024,Kamote,40,50,40
8/20/2024,Karlang,25,50,30
8/20/2024,Cassava,18,25,25
8/19/2024,Gabi (bisol),30,60,24
8/19/2024,Kamote,40,40,40
8/19/2024,Karlang,35,50,30
8/19/2024,Cassava,18,20,27
8/18/2024,Gabi (bisol),30,70,25
8/18/2024,Kamote,40,35,40
8/18/2024,Karlang,35,50,30
8/18/2024,Cassava,18,18,25
8/17/2024,Gabi (bisol),30,60,45
8/17/2024,Kamote,40,35,30
8/17/2024,Karlang,35,40,28
8/17/2024,Cassava,18,20,20
8/16/2024,Gabi (bisol),30,70,45
8/16/2024,Kamote,40,40,30
8/16/2024,Karlang,35,50,28
8/16/2024,Cassava,18,20,20
8/15/2024,Gabi (bisol),30,70,45
8/15/2024,Kamote,40,40,30
8/15/2024,Karlang,35,50,28
8/15/2024,Cassava,18,25,20
8/14/2024,Gabi (bisol),30,70,45
8/14/2024,Kamote,40,40,30
8/14/2024,Karlang,35,70,28
8/14/2024,Cassava,18,25,20
8/13/2024,Gabi (bisol),30,70,45
8/13/2024,Kamote,40,50,30
8/13/2024,Karlang,35,40,28
8/13/2024,Cassava,18,25,20
8/12/2024,Gabi (bisol),30,60,45
8/12/2024,Kamote,40,40,30
8/12/2024,Karlang,35,50,28
8/12/2024,Cassava,18,18,20
8/11/2024,Gabi (bisol),30,60,45
8/11/2024,Kamote,40,40,30
8/11/2024,Karlang,35,45,28
8/11/2024,Cassava,18,18,20
8/10/2024,Gabi (bisol),30,60,45
8/10/2024,Kamote,40,40,30
8/10/2024,Karlang,35,50,28
8/10/2024,Cassava,18,18,20
8/9/2024,Gabi (bisol),30,60,45
8/9/2024,Kamote,40,35,30
8/9/2024,Karlang,35,50,28
8/9/2024,Cassava,18,18,20
8/8/2024,Gabi (bisol),30,60,45
8/8/2024,Kamote,40,40,30
8/8/2024,Karlang,35,50,28
8/8/2024,Cassava,18,20,20
8/7/2024,Gabi (bisol),30,75,45
8/7/2024,Kamote,40,55,30
8/7/2024,Karlang,35,70,25
8/7/2024,Cassava,18,25,20
8/6/2024,Gabi (bisol),30,70,45
8/6/2024,Kamote,40,50,30
8/6/2024,Karlang,35,60,25
8/6/2024,Cassava,18,20,20
8/5/2024,Gabi (bisol),30,70,45
8/5/2024,Kamote,40,40,30
8/5/2024,Karlang,35,50,20
8/5/2024,Cassava,18,18,20
8/4/2024,Gabi (bisol),30,70,45
8/4/2024,Kamote,40,35,30
8/4/2024,Karlang,35,50,25
8/4/2024,Cassava,18,18,20
8/3/2024,Gabi (bisol),30,40,45
8/3/2024,Kamote,40,18,30
8/3/2024,Karlang,35,70,25
8/3/2024,Cassava,18,18,20
8/2/2024,Gabi (bisol),30,70,45
8/2/2024,Kamote,40,50,32
8/2/2024,Karlang,30,60,25
8/2/2024,Cassava,18,18,20
8/1/2024,Gabi (bisol),30,70,45
8/1/2024,Kamote,40,50,32
8/1/2024,Karlang,30,60,25
8/1/2024,Cassava,18,20,20
7/31/2024,Gabi (bisol),30,60,45
7/31/2024,Kamote,40,35,32
7/31/2024,Karlang,30,50,28
7/31/2024,Cassava,18,20,20
7/30/2024,Gabi (bisol),40,70,45
7/30/2024,Kamote,40,40,32
7/30/2024,Karlang,35,70,28
7/30/2024,Cassava,18,25,20
7/29/2024,Gabi (bisol),40,70,45
7/29/2024,Kamote,40,35,32
7/29/2024,Karlang,25,50,28
7/29/2024,Cassava,18,18,20
7/28/2024,Gabi (bisol),40,70,45
7/28/2024,Kamote,40,40,32
7/28/2024,Karlang,25,50,28
7/28/2024,Cassava,18,18,20
7/27/2024,Gabi (bisol),40,70,45
7/27/2024,Kamote,40,35,32
7/27/2024,Karlang,25,45,28
7/27/2024,Cassava,18,18,20
7/26/2024,Gabi (bisol),40,70,45
7/26/2024,Kamote,40,35,32
7/26/2024,Karlang,25,40,28
7/26/2024,Cassava,18,18,20
7/25/2024,Gabi (bisol),40,90,45
7/25/2024,Kamote,40,50,32
7/25/2024,Karlang,17,40,20
7/25/2024,Cassava,18,20,20
7/24/2024,Gabi (bisol),40,40,45
7/24/2024,Kamote,18,50,32
7/24/2024,Karlang,17,35,20
7/24/2024,Cassava,18,18,20
7/23/2024,Gabi (bisol),40,70,45
7/23/2024,Kamote,18,50,32
7/23/2024,Karlang,17,25,20
7/23/2024,Cassava,18,18,20
7/22/2024,Gabi (bisol),40,18,45
7/22/2024,Kamote,18,34,32
7/22/2024,Karlang,17,30,20
7/22/2024,Cassava,18,8,20
7/21/2024,Gabi (bisol),40,18,45
7/21/2024,Kamote,18,34,32
7/21/2024,Karlang,17,30,20
7/21/2024,Cassava,18,8,20
7/20/2024,Gabi (bisol),40,18,45
7/20/2024,Kamote,18,34,32
7/20/2024,Karlang,17,30,20
7/20/2024,Cassava,18,8,20
7/19/2024,Gabi (bisol),40,60,45
7/19/2024,Kamote,18,34,32
7/19/2024,Karlang,17,30,20
7/19/2024,Cassava,18,8,20
7/18/2024,Gabi (bisol),40,70,45
7/18/2024,Kamote,18,55,30
7/18/2024,Karlang,17,30,20
7/18/2024,Cassava,18,40,16
7/17/2024,Gabi (bisol),40,70,45
7/17/2024,Kamote,18,40,30
7/17/2024,Karlang,17,60,20
7/17/2024,Cassava,18,18,16
7/16/2024,Gabi (bisol),40,50,45
7/16/2024,Kamote,35,30,30
7/16/2024,Karlang,17,40,20
7/16/2024,Cassava,18,18,16
7/15/2024,Gabi (bisol),40,50,45
7/15/2024,Kamote,25,35,30
7/15/2024,Karlang,20,45,26
7/15/2024,Cassava,18,18,16
7/14/2024,Gabi (bisol),40,50,45
7/14/2024,Kamote,25,35,30
7/14/2024,Karlang,20,45,26
7/14/2024,Cassava,18,18,16
7/13/2024,Gabi (bisol),40,50,45
7/13/2024,Kamote,25,35,30
7/13/2024,Karlang,20,45,26
7/13/2024,Cassava,18,18,16
7/12/2024,Gabi (bisol),40,60,45
7/12/2024,Kamote,25,45,30
7/12/2024,Karlang,20,30,26
7/12/2024,Cassava,18,18,16
7/11/2024,Gabi (bisol),40,50,45
7/11/2024,Kamote,25,30,30
7/11/2024,Karlang,20,45,24
7/11/2024,Cassava,18,20,16
7/10/2024,Gabi (bisol),40,65,45
7/10/2024,Kamote,25,45,30
7/10/2024,Karlang,20,60,24
7/10/2024,Cassava,18,18,16
7/9/2024,Gabi (bisol),40,60,45
7/9/2024,Kamote,25,40,30
7/9/2024,Karlang,20,50,25
7/9/2024,Cassava,18,20,16
7/8/2024,Gabi (bisol),40,50,45
7/8/2024,Kamote,25,40,30
7/8/2024,Karlang,20,45,25
7/8/2024,Cassava,18,20,16
7/7/2024,Gabi (bisol),40,60,45
7/7/2024,Kamote,25,40,30
7/7/2024,Karlang,20,40,25
7/7/2024,Cassava,18,15,16
7/6/2024,Gabi (bisol),40,60,45
7/6/2024,Kamote,25,45,30
7/6/2024,Karlang,20,40,24
7/6/2024,Cassava,18,15,16
7/5/2024,Gabi (bisol),40,60,45
7/5/2024,Kamote,25,45,30
7/5/2024,Karlang,20,60,24
7/5/2024,Cassava,18,18,16
7/4/2024,Gabi (bisol),40,60,45
7/4/2024,Kamote,25,45,30
7/4/2024,Karlang,20,50,24
7/4/2024,Cassava,18,18,16
7/3/2024,Gabi (bisol),40,60,45
7/3/2024,Kamote,25,45,27
7/3/2024,Karlang,20,60,18
7/3/2024,Cassava,18,18,16
7/2/2024,Gabi (bisol),40,65,45
7/2/2024,Kamote,25,45,27
7/2/2024,Karlang,20,50,18
7/2/2024,Cassava,18,18,16
7/1/2024,Gabi (bisol),40,50,45
7/1/2024,Kamote,25,35,27
7/1/2024,Karlang,20,40,18
7/1/2024,Cassava,18,20,16
6/30/2024,Gabi (bisol),40,60,45
6/30/2024,Kamote,25,30,27
6/30/2024,Karlang,20,40,18
6/30/2024,Cassava,18,18,16
6/29/2024,Gabi (bisol),40,50,45
6/29/2024,Kamote,25,35,27
6/29/2024,Karlang,20,40,18
6/29/2024,Cassava,18,18,16
6/28/2024,Gabi (bisol),40,50,45
6/28/2024,Kamote,25,30,27
6/28/2024,Karlang,20,40,18
6/28/2024,Cassava,18,18,16
6/27/2024,Gabi (bisol),40,50,45
6/27/2024,Kamote,25,35,27
6/27/2024,Karlang,20,40,18
6/27/2024,Cassava,18,18,16
6/26/2024,Gabi (bisol),40,50,45
6/26/2024,Kamote,25,30,28
6/26/2024,Karlang,20,40,18
6/26/2024,Cassava,18,18,16
6/25/2024,Gabi (bisol),40,55,45
6/25/2024,Kamote,25,30,28
6/25/2024,Karlang,20,30,18
6/25/2024,Cassava,18,18,16
6/24/2024,Gabi (bisol),40,50,45
6/24/2024,Kamote,25,30,28
6/24/2024,Karlang,20,25,18
6/24/2024,Cassava,18,18,16
6/23/2024,Gabi (bisol),40,45,45
6/23/2024,Kamote,25,35,28
6/23/2024,Karlang,20,27,18
6/23/2024,Cassava,18,18,16
6/22/2024,Gabi (bisol),40,50,45
6/22/2024,Kamote,25,40,28
6/22/2024,Karlang,20,30,18
6/22/2024,Cassava,18,20,16
6/21/2024,Gabi (bisol),40,50,45
6/21/2024,Kamote,25,40,28
6/21/2024,Karlang,20,40,18
6/21/2024,Cassava,18,18,16
6/20/2024,Gabi (bisol),40,50,45
6/20/2024,Kamote,25,40,30
6/20/2024,Karlang,20,30,18
6/20/2024,Cassava,18,18,16
6/19/2024,Gabi (bisol),40,50,45
6/19/2024,Kamote,25,40,28
6/19/2024,Karlang,20,35,17
6/19/2024,Cassava,18,18,16
6/18/2024,Gabi (bisol),40,55,45
6/18/2024,Kamote,25,45,30
6/18/2024,Karlang,20,60,17
6/18/2024,Cassava,18,18,16
6/17/2024,Gabi (bisol),40,55,45
6/17/2024,Kamote,25,45,30
6/17/2024,Karlang,20,60,17
6/17/2024,Cassava,18,18,16
6/16/2024,Gabi (bisol),40,55,45
6/16/2024,Kamote,25,45,30
6/16/2024,Karlang,20,60,17
6/16/2024,Cassava,18,18,16
6/15/2024,Gabi (bisol),40,55,45
6/15/2024,Kamote,25,45,30
6/15/2024,Karlang,20,60,17
6/15/2024,Cassava,18,18,16
6/14/2024,Gabi (bisol),40,50,45
6/14/2024,Kamote,25,30,30
6/14/2024,Karlang,20,20,17
6/14/2024,Cassava,18,18,16
6/13/2024,Gabi (bisol),40,65,45
6/13/2024,Kamote,25,45,30
6/13/2024,Karlang,20,60,17
6/13/2024,Cassava,18,18,16
6/12/2024,Gabi (bisol),40,65,45
6/12/2024,Kamote,25,45,28
6/12/2024,Karlang,20,60,17
6/12/2024,Cassava,18,18,16
6/11/2024,Gabi (bisol),40,65,45
6/11/2024,Kamote,25,45,28
6/11/2024,Karlang,20,60,17
6/11/2024,Cassava,18,18,16
6/10/2024,Gabi (bisol),40,60,45
6/10/2024,Kamote,25,30,28
6/10/2024,Karlang,20,40,17
6/10/2024,Cassava,18,18,16
6/9/2024,Gabi (bisol),40,60,45
6/9/2024,Kamote,25,30,28
6/9/2024,Karlang,20,40,17
6/9/2024,Cassava,18,18,16
6/8/2024,Gabi (bisol),40,60,45
6/8/2024,Kamote,25,30,28
6/8/2024,Karlang,20,40,17
6/8/2024,Cassava,18,18,16
6/7/2024,Gabi (bisol),40,40,45
6/7/2024,Kamote,25,30,28
6/7/2024,Karlang,20,30,17
6/7/2024,Cassava,18,18,16
6/6/2024,Gabi (bisol),40,50,45
6/6/2024,Kamote,25,30,26
6/6/2024,Karlang,20,35,18
6/6/2024,Cassava,18,18,16
6/5/2024,Gabi (bisol),40,45,45
6/5/2024,Kamote,25,25,26
6/5/2024,Karlang,20,30,16
6/5/2024,Cassava,18,18,16
6/4/2024,Gabi (bisol),40,50,45
6/4/2024,Kamote,25,25,26
6/4/2024,Karlang,20,30,16
6/4/2024,Cassava,18,20,16
6/3/2024,Gabi (bisol),40,60,45
6/3/2024,Kamote,25,50,26
6/3/2024,Karlang,20,30,16
6/3/2024,Cassava,18,35,16
6/2/2024,Gabi (bisol),40,60,45
6/2/2024,Kamote,25,50,30
6/2/2024,Karlang,20,30,27
6/2/2024,Cassava,18,35,16
6/1/2024,Gabi (bisol),40,60,45
6/1/2024,Kamote,25,50,30
